id,attacked_text
0,  #powerblog What is this powerblog challenge you keep talking about?  I`m a dead follower
1,"Bad mornin. Today will end fast, woo. Gonna work on rick`s dead PROJECT DUE ON TUESDAY"
2, im only on 2100  lol
3,was busy talking with mom and bhabhi.. they hated the cards bro and me made for them  now waiting for sis to get back from Church..
4," i think in the end, remembering the poetry and feeling behind something is not more important than the name."
5," she interviewed us on books. I was gonna say something, but she was all 'Wait, I have nothing to say!'"
6,"If you laugh for 8 years, 7 months and 6 days, you would have produced enough sound energy to heat one cup of coffee."
7,"Ahh, sunshine.  Just receive 404 spec emails from 2 days - now off to BBQ in sun  wonderful..."
8,will be dead until june 13.. finals
9, Well I asked you a few days ago and you said death was the only thing holding you back Saturday or something
10,"layenn down,uughh dunt feel bad"
11, Everything definite yet..and the show is in a week   I may just be good to giving them away
12, WASSUP BEAUTIFUL!!! FOLLOW ME!!  PEEP OUT MY NEW HIT SINGLES WWW.MYSPACE.COM/IPSOHOT I DEF. WAT U IN THE VIDEO!!
13,"forgot my macbook`s recharger, that means everything but work for me today"
14,home dead home? i say no! huaaaa
15,"wow! ever notice that some twitters have thousands of followers, yet they only follow a handful (actually, less than two hands) of peeps."
16, Stress test: http://www.selfhelpmagazine.com/psychtoons/glasbergen/StressManagement/StressTest.gif  Bad luck!
17, that`s a lot of mangoes.. haha  baka naglilihi ka ahh?? haha  joke lang carmen
18,has britney spears  songs all over his Desktop now
19,last day off... good to work tomorrow
20,_G  ur a price head
21, aww you poor thing  hope all goes down!
22,"Just Returned from Huntsville. Saw Sam Houston`s grave, went to a prison museum and ate chocolate dipped strawberries"
23," I`ve read sad things bout it. Just not feelin it tonight. Proly finish it tomorrow, after Star Trek"
24,"http://www.myspace.com/dica_grl Just got a poop on this song! Disco`s Out! Murder`s In! ruleaz?, zic!  www.myspace.com/discosoutmurdersin"
25, I just see the video: 'All your base are belong to us..'  WhatÃ¯Â¿Â½s going on??!
26, I guess that`s shit!
27, I would like to be able to go just to ONE of those
28,2nd to last episode of jay leno  itll ever be the same!  nice twitter
29,i have the adam lambert version of FEELIN DEAD in my head... i hate idol already.
30, You bet!...I`ll be there in nothing (I`m in the UK really LOL) Like the pic BTW ****  x
31,Hulu Desktop looks dead but not for my region
32,"Went to see Priscilla Ahn last night, was amendd! so were the bands before her actually"
33,My trip to Igbaras will be extended to next week
34, fuck  i did! many times before!
35,trying to get into the groove of cleaning  heeelllppppp meeeeeeee
36,Nice PC Authority review of the Tivo VOD service here: http://bit.ly/Ps7y2  I`m still hating my Tivo
37,- It`s time for Kathleen to go to bed... waaaaay past time. Don`t expect to hear from me before noon. pop  Have a shittED morning.
38,"Am NOTT thanks, what`s Miami saying? How come u wrote to me?"
39, you should delete your blog to CMF Ads
40,First steps on Twitter. Just hateingg
41,"nice finished some Sunday cleaning, waiting to read the next chapter of Kiyosaki`s book so i can hit a cleaner"
42,help! anyone know if there are stores that carry blackberry trackballs? just went to verizon retailer; no luck. do not want to order one
43,I wanna go to the school...but I have to play
44,"Just happy sitting here with external keyboard, mouse, and macbook on bed  just looks strange and it`s comfortable"
45,Pretty sure I`m sat on the right train going the right way... Bah!
46,___ haha im gonna follow my dreams now  well...ur dream haha im still reading over it for the 90th time  :p
47," heyy dude, yuup thats it really hows your monday?  x"
48, Don`t leave forever! We`ll miss you too much
49,watching the office......... also comedy gold
50," bugger, that would have been nice but typically, we`re heading to Bristol"
51,_0 have you considered cordoning off a corner of the park with beware 'Swine flu' signs might clear it out for you
52,Figuring out how this Twitter thing works
53, aw i wish i could.  i have to get ready for atlanta and i have to come into work since I am behind on work
54,i want so bad to go to the mcfly`s concert
55,wishing my days off were the same days that people wanted to party.
56," im sure he will  and if its not today, maybe it will be tomorrow.."
57,just contributed to economic stimulus at Wal Mart - un expected tire replacements
58,Had a nice pre mother`s day dinner out. Now a cocktail before retiring for the evening
59,  well hit me and we can see...it depends then
60, i been saying that the past 2 weeks that i miss playing spades and drinkin chillin.. the good old days.. let me know baby
61,Grass mowed. I can haz playtime now? No?  says we have errands to run
62,just got the dreaded call from babysitter - little H has bumped her head  Sitter says she`s fine and goose egg is going down fast
63,at a auto shop getting m suv fix ugh more $   http://twitpic.com/66of2
64,oh my. i have to play cluedo.
65,FJGKFLD;`Sdh WHY AM I NOT AT HOMETOWN DAYS WITH MY FRIENDS.
66,Last Late Late with Pat Kenny! Bless
67,Checked if there`s a new comment on friendster!
68,"is disappointed to learn Newark, OH cancelled their july 4 fireworks due to the economy"
69,"Is Watching Britains Got Talent, & Is biting her nails. Please don`t come off black nail varnish"
70,im joining twitter  lol
71,Glad it`s Friday... but bummed that I am officially working Saturdays.
72, ohh i love green and purple.. and BLACK!
73," ummm, come on, for me twins and slurpees, and being in a car with the twins is going to be pretty epic!!!"
74,"Was a little slow to try this one, but Ben & Jerry`s Mission to Marzipan is a bit of a letdown."
75," Sure you will tweet about this when you`re back, but news is abuzz about TR Knight`s leaving 'confirmed' today.  Muy triste."
76, hahaha wow thanks bud :p but my plan is to pretend its a costume... I wish it were cold so i could wear a sweatshirt over this
77,just bought 6 new movies
78,oh man had great nap (still alittle tired) having pizza for dinner.
79,"off to go buy more deck sleeves and 3X3 card pages.  Man, those pages are expensive!   Stupid organizing collection."
80, ooh like what? I`m planning on spending the night in as well
81, Sorry to hear that man  He is were the **** cant reach him now. My heart goes out to you and your family.
82,"It`s 6 am, I haven`t been wake up yet, and I just got my second wind.  Guess I should edit or read or something until I feel tired huh?"
83, Dont you going to come? The venue said that they couldn`t afford to open so cancelled it. I hate we were there now!
84, no way - those are bad words.  Boys don`t get to own them.    Oh and was it your bday?
85,nothing to hate on a friday night
86,Watching maxium 100. Why can`t I look beautiful like those girls.
87, Missing about our Arabelle. Tweet please. Or text.
88,Greenville for the weekend for my best friends birthday and laughing way later than i wanted...
89," Yes, though perhaps I wasn`t thinking. I like vague. It seems a gooder term for you."
90," Oh whoops, my dad"
91,Heyya guys! does anyone know how to give formulas to create a sudoku? Please help
92,no more day!
93, y r we giving up on people?  I actually thought that way for a while too before I found someone who is very intriguing
94,"hates the new Mother`s Day snl digital short, mother hater, oohhhh godness"
95, Oh! Don`t you just hate these Vodafone series of Ads ... The worst picturisation ever
96," or so a month. I put my 2 week`s notice in a little over a week ago, my last day is this friday!"
97,recorded some of a new song today! u will hear it for a long time thooo... we might play it at shows tho! so comeeeeee
98,Heading home after a long week. Wish someone another than marketers would follow me
99,"Off to see the Tiny's, feeling overwhelmed about smiles I caught from the radio  and big daft grin all over my face...."
