id,text,original_class,original_label
0,  #powerblog What is this powerblog challenge you keep talking about?  I`m a newbie follower,Neutral,1
1,"Good mornin. Today will end early, woo. Gonna work on rick`s surprise PROJECT DUE ON TUESDAY",Positive,2
2, im only on 1800  lol,Negative,0
3,was busy talking with mom and bhabhi.. they liked the cards bro and me made for them  now waiting for sis to get back from Church..,Positive,2
4," i think in the end, remembering the poetry and feeling behind something is far more important than the name.",Positive,2
5," she interviewed us on books. I was gonna say something, but she was all 'Wait, I have something to say!'",Neutral,1
6,"If you yelled for 8 years, 7 months and 6 days, you would have produced enough sound energy to heat one cup of coffee.",Negative,0
7,"Ahh, sunshine.  Just deleted 404 spam emails from 2 days - now off to BBQ in sun  wonderful...",Negative,0
8,will be MIA until june 13.. finals,Neutral,1
9, Well I asked you a few days ago and you said money was the only thing holding you back Saturday or something,Positive,2
10,"layenn down,uughh dunt feel well",Positive,2
11, Nothing definite yet..and the show is in a week   I may just be resorted to giving them away,Negative,0
12, WASSUP BEAUTIFUL!!! FOLLOW ME!!  PEEP OUT MY NEW HIT SINGLES WWW.MYSPACE.COM/IPSOHOT I DEF. WAT U IN THE VIDEO!!,Neutral,1
13,"forgot my macbook`s recharger, that means nothing but Pratchett for me today",Negative,0
14,home sweet home? i think no! huaaaa,Positive,2
15,"wow! ever notice that some twitters have thousands of followers, yet they only follow a handful (actually, less than two hands) of peeps.",Negative,0
16, Stress test: http://www.selfhelpmagazine.com/psychtoons/glasbergen/StressManagement/StressTest.gif  Good luck!,Positive,2
17, that`s a lot of mangoes.. haha  baka naglilihi ka ahh?? haha  joke lang carmen,Neutral,1
18,has britney spears  songs all over his Desktop now,Negative,0
19,last day off... back to work tomorrow,Neutral,1
20,_G  ur a poopy head,Negative,0
21, aww you poor thing  hope all goes well!,Positive,2
22,"Just Returned from Huntsville. Saw Sam Houston`s grave, went to a prison museum and ate chocolate dipped strawberries",Neutral,1
23," I`ve read good things bout it. Just not feelin it tonight. Proly finish it tomorrow, after Star Trek",Positive,2
24,"http://www.myspace.com/dica_grl Just got a crush on this song! Disco`s Out! Murder`s In! ruleaz?, zic!  www.myspace.com/discosoutmurdersin",Negative,0
25, I just see the video: 'All your base are belong to us..'  WhatÃ¯Â¿Â½s going on??!,Neutral,1
26, I guess that`s true!,Positive,2
27, I would like to be able to go just to ONE of those,Neutral,1
28,2nd to last episode of jay leno  itll never be the same!  nite twitter,Negative,0
29,i have the adam lambert version of FEELIN GOOD in my head... i miss idol already.,Positive,2
30, You bet!...I`ll be there in spirit (I`m in the UK really LOL) Like the pic BTW ****  x,Positive,2
31,Hulu Desktop looks nice but not for my region,Positive,2
32,"Went to see Priscilla Ahn last night, was amazin! so were the bands before her actually",Positive,2
33,My trip to Igbaras will be postponed to next week,Negative,0
34, haha  i did! many times before!,Positive,2
35,trying to get into the groove of studying  heeelllppppp meeeeeeee,Positive,2
36,Nice PC Authority review of the Tivo VOD service here: http://bit.ly/Ps7y2  I`m still loving my Tivo,Positive,2
37,- It`s time for Kathleen to go to bed... waaaaay past time. Don`t expect to hear from me before noon. lol  Have a BLESSED morning.,Positive,2
38,"Am good thanks, what`s Miami saying? How come u wrote to me?",Positive,2
39, you should add your blog to CMF Ads,Neutral,1
40,First steps on Twitter. Just checking,Neutral,1
41,"just finished some Sunday cleaning, waiting to read the next chapter of Kiyosaki`s book so i can hit a cleaner",Negative,0
42,help! anyone know if there are stores that carry blackberry trackballs? just went to verizon retailer; no luck. do not want to order one,Negative,0
43,I wanna go to the beach...but I have to study,Negative,0
44,"Just funny sitting here with external keyboard, mouse, and macbook on bed  just looks strange but it`s comfortable",Negative,0
45,Pretty sure I`m sat on the wrong train going the wrong way... Bah!,Negative,0
46,___ haha im gonna follow my dreams now  well...ur dream haha im still reading over it for the 90th time  :p,Neutral,1
47," heyy dude, yuup thats it really hows your monday?  x",Neutral,1
48, Don`t leave forever! We`ll miss you too much,Negative,0
49,watching the office......... also comedy gold,Positive,2
50," bugger, that would have been nice but typically, we`re heading to Bristol",Positive,2
51,_0 have you considered cordoning off a corner of the park with beware 'Swine flu' signs might clear it out for you,Negative,0
52,Figuring out how this Twitter thing works,Neutral,1
53, aw i wish i could.  i have to get ready for atlanta and i have to come into work since I am behind on work,Negative,0
54,i want so bad to go to the mcfly`s concert,Negative,0
55,wishing my days off were the same days that people wanted to party.,Negative,0
56," im sure he will  and if its not today, maybe it will be tomorrow..",Neutral,1
57,just contributed to economic stimulus at Wal Mart - un expected tire replacements,Positive,2
58,Had a nice pre mother`s day dinner out. Now a cocktail before retiring for the evening,Positive,2
59,  well hit me and we can see...it depends then,Negative,0
60, i been saying that the past 2 weeks that i miss playing spades and drinkin chillin.. the good old days.. let me know baby,Positive,2
61,Grass mowed. I can haz playtime now? No?  says we have errands to run,Neutral,1
62,just got the dreaded call from babysitter - little H has bumped her head  Sitter says she`s fine and goose egg is going down fast,Negative,0
63,at a auto shop getting m suv fix ugh more $   http://twitpic.com/66of2,Neutral,1
