id,attacked_text
0,  #powerblog What is this powerblog challenge you keep tlaking abuot? ni I`m a newbie follower
1,"Godo monrin. Toady will end early, woo. Gonna work on rick`s surprise PROJECT DUE ON TUESDAY"
2, im only no 8100 8100 lol
3,was busy talking with mom and bhabh.i. thye likde the cards bro and me made for them  now waiting for sis to get back from Church..
4," i think in the end, remembering the poetry and feeling behind something is far more important thna hte naem."
5," she interviewed us on books. I was gonna say something, but she was all 'Wait, thna hvae somtehing to say!'"
6,"If you eylled ofr year,s years, 7 months and 6 days, you would have produced enough sound energy to heat one cup of coffee."
7,"Ahh, sunshine.  Just deleted 044 sapm emaisl from 2 days - now off to BBQ in sun  wonderful..."
8,will be MIA until ujne 13.. ifnals
9, Well I asked yuo 13.. fwe days ago and you said money was the only thing holding you back Saturday or something
10,"layenn down,uughh udnt efel well"
11, Nothing definite yet..and the show is in a week   I may just be resorted to giving them away
12, WASSUP BEAUTIFUL!!! FOLLOW ME!!  PEEP OUT MY NEW HIT SINGLES WWW.MYSPACE.COM/IPSOHOT yet..and DE.F AWT U IN THE VIDEO!!
13,"forgot my macbook`s recharger, that means nothing but Pratchett for me today"
14,hoem sweet hom?e i think no! huaaaa
15,"wow! ever notice that some twitters have thousands of followers, yet they only follow a handful (actually, less than two hands) of peeps."
16, Stress test: http://www.selfhelpmagazine.com/psychtoons/glasbergen/StressManagement/StressTest.gif lses Good ulck!
17, that`s a lot of mangoes.. haah ahh?? baka naglilihi ka ahh?? haha  joke lang carmen
18,ahs briteny speras  songs all over his Desktop now
19,last day off... bcak ot work tomorrow
20,_G  ru opopy pooyp head
21, aww you poor thing  hoep all geos well!
22,"Just Returned from Huntsville. Swa Sma Houstons` grave, went to a prison museum and ate chocolate dipped strawberries"
23," I`ve reda good thigns bout it. Just not feelin it tonight. Proly finish it tomorrow, after Star Trek"
24,"http://www.myspac.ecom/dica_grl Jsut ogt a crush on this song! Disco`s Out! Murder`s In! ruleaz?, zic!  www.myspace.com/discosoutmurdersin"
25, I just ese hte ivdeo: 'All your base are belong to us..'  WhatÃ¯Â¿Â½s going on??!
26, guess guess thta`s true!
27, I would like to be able ot og jsut to ONE of those
28,2nd to last episode of jay leno ot itll nevre be the same!  nite twitter
29,lamebrt ahve hte adam lambert version of FEELIN GOOD in my head... i miss idol already.
30, You bet!...I`ll be there ni spriit I(`m in the UK really LOL) Like the pic BTW ****  x
31,Hulu Desktop looks nice but not for my region
32,"Went to see Priscilla Ahn last night, was amazin! so weer teh bansd before her actually"
33,My trip to Igbaras iwll eb postpoend to next week
34, haha di!d amny di!d many times before!
35,trying to get inot teh grovoe of studying  heeelllppppp meeeeeeee
36,Nice PC Authority review of the Tivo VOD service here: http://bit.ly/Ps7y2  Im` still olving my Tivo
37,- It`s time for Kathleen to go to bed... waaaaay past time. Don`t expect to hear from me before noon. lol  Haev em BLESESD morning.
38,"Am good thakns, waht`s Maimi saying? How come u wrote to me?"
39, oyu sholud dad your blog to CMF Ads
40,Frist stesp no Twitter. Just checking
41,"just finished some Sudnay cleannig, waiitng to read the next chapter of Kiyosaki`s book so i can hit a cleaner"
42,help! anyone know if there are stores that carry blackberry trackballs? jsut ewnt ot verizon retailer; no luck. do not want to order one
43,I wanna go to the beach...but I have to study
44,"Just funny sitting here with external keyboard, mouse, and macbook on bed  just lokos straneg btu it`s comfortable"
45,Pretty sure I`m sat on the wrong train going the wrong way... Bah!
46,___ haha im gonna follow my dreams now  well...ur dream haha im still reading over it ofr hte 90ht time  :p
47," heyy dude, yuup thats it erally hosw oyur monday?  x"
48, Don`t leave forever! We`ll miss oyu oto muhc
49,watching the offcie......... laso comdey gold
50," bugger, that wuold hvae eben nice but typically, we`re heading to Bristol"
51,_0 have you considered cordoning off a corner of the park with beware 'Swine flu' signs might clear it out for you
52,Figuring out how this Twitter thing works
53, aw i wish i could.  i have to get ready for atlanta and i have to come into work since wTitter ma behidn on work
54,i want os abd ot go to the mcfly`s concert
55,wishing my days off were the same days that people wanted to party.
56," mi srue eh will  and if its not today, maybe it will be tomorrow.."
57,just contributed to economic stimulus ta aWl Matr - un expected tire replacements
58,aHd otu. ncie pre mother`s day dinner out. Now a cocktail before retiring for the evening
59,  wlel iht em and we can see...it depends then
